"image_1_text","image_2_text","database","image","number"
"a shop that sells music and musical instruments the thing in the yellow box is slightly longer than the other picture.","a shop that sells music and musical instruments the thing in the yellow box is slightly shorter than the other picture","ma","16527526","2"
"a rock shop having a longer window on the wall","a rock shop having a shorter window on the wall","ma","16527526","3"
"a red store front with a long window to its right.","a red store front with a small window to its right.","ma","16527526","4"
"a mango table cover  the mango in the yellow box has no stem and the dots are much larger than the other picture.","a mango table cover the mango in the yellow box has a stem and the dots are much smaller than the other picture.","ma","18169626","1"
"a ruffled circular blanket with different yellow pears and a pear with red dot without a stem.","a ruffled circular blanket with different yellow pears and a pear with  small red dots and a stem with a  leaf.","ma","18169626","2"
"a piece of fabric with pears including one with medium-sized spots.","a piece of fabric with pears including one with small spots.","ma","18169626","3"
"decorative material with patterened pears, one is yellow with orange polk adots","decorative material with patterened pears, one is yellow with tiny orange dots","ma","18169626","4"
"pirate themed cupcakes and a variety of other dessert treats","a smiley face sticker on a bag of goodies","ma","18345691","1"
"several cupcakes designed to look like pirates with packages in the background with large pirate ship designs on them","several cupcakes designed to look like pirates with packages in the background with medium sized pirate ship designs on them ","ma","18345691","2"
"pirate-themed cupcakes with a small pirate with a red bandana and eyepatch decoration with brown bags in the back with a smiley face on them","pirate themed cupcakes with a small pirates with red bandana and eyepatch decorations with brown bags with a smiley face on them","ma","18345691","3"
"an order of pirate designed cupcakes with a big smiley face sticker on the bags","an order of pirate designed cupcakes with a regular sized smiley face sticker on the bags","ma","18345691","4"
"a collection of pirate chocolate cupcakes. bags with a pirate ship logo are behind them with one logo larger than the other.","a collection of pirate chocolate cupcakes. bags are behind them with one logo smaller than the others.","ma","18345691","5"
"a set of pirate cupcakes with bags behind them containing a white a long ovular pirate ship sticker","a set of pirate copcakes with bags behind them containing a white wide ovular pirate ship sticker","ma","18345691","6"
"decorated chocolate cupcakes on a white table","chocolate cupcakes with pirate faces and paper bags with a pumpkin sticker on them","ma","18345691","7"
"there are flowers, sea shells, pine cone, some wooden art work and a blue vase on a yellow mat","there are flowers, sea shells, pine cone, some wooden art work, a blue vast and a pile of tiny brown stones on a yellow mat","ma","22020472","1"
"a cluttered room with a chest of drawers an lots of nicknacks on it a yellow cloth with a vase, lamp and picture sitting on the chest.","a cluttered room with a ches of drawers and lots of nicknacks on the chest a yellow cloth is on the corner with a vase, lamp, picture frame, and pile of purple stuff.","ma","22020472","2"
"decorations on the table. nothing near the right photo","decorations on the table. near the photo on the right, there is a grey color decorations too","ma","22020472","3"
"a group of photos are surrounded by flowers and decorative objects. there is nothing in the middle right side on the yellow blanket below the white photo.","a group of photos are surrounded by flowers and decorative objects. there is a group of purple flower pettles on the yellow blanket below the white photo.","ma","22020472","4"
"a vanity with various trinkets adorning it including a yellow cloth","a vanity with various trinkets adorning it including rocks on a yellow cloth","ma","22020472","5"
"a cluttered decorative table with loose stones in the right corner","a cluttered decorative table with a photo in the right corner","ma","22020472","6"
"the embroidary is large","the embroidary is small","ma","23024660","1"
"a quilt with cabins on it and assorted wood block houses ","the window of a quilt cabin","ma","23024660","2"
"picture with houses with windows","picture with houses with windows ","ma","23024660","3"
"a bunch of embroidered houses, one of which has a square window","a bunchof embroidered houses one of which has a rectangular window","ma","23024660","4"
"village pieces with a village quilt frame behind it the house has a large window","willage pieces with a village quilt frame behind it the house has a small window","ma","23024660","5"
"a frame on a table ","a frame with a quilt on a table","ma","23024660","6"
"a wooden framed quilt with houses one is a purple house with a square window in the middle there is also houses besides the frame","a wooden framed quilt with houss one is a purple house with a rectangular window near the top of the side of the house there is also houses besides the frame","ma","23024660","7"
"a quilt in a frame with houses, with the middle house having a large four pane window","a quilt in a frame with houses, with the middle house having a small window towards the second floor.","ma","23024660","8"
"a quilt picture in a frame with a gray house with a large four paned window on the front.","a quilt picture in a frane with a gray house with a small four panes window on the front.","ma","23024660","9"
"a display of wooden objects with a quilted picture in the background showing a house in the middle with a large window","a display of wooden objects with a quilted picture in the background showing a house in the center with a small window.","ma","23024660","10"
"an assortment of house themed knick-knacks including a framed quilted picture featuring a house with a large window","an assortment of house themed knick-knacks including a framed quilted picture featuring a house with a small window","ma","23024660","11"
"there are notebooks, stationery, glues, scissors and a yellow small notebook on the top right corner","there are notebooks, stationery, glues, scissors and a red small notebook on the top right corner","ma","23199105","1"
"a picture of a crowded room with lots of stationary scattered throughout, including a yellow notebook in the upper right corner.","a picutre of a messy room with lots of stationary scattered throughout, including a red notebook in the upper right corner.","ma","23199105","2"
"a table full of arts and crafts materials the paper in the yellow box in this picture is yellow.","a table full of arts and crafts materials the paper in the yellow box in this picture is red.","ma","23199105","3"
"the book is yellow in color","the picture is red in color","ma","23199105","4"
"an yellow color books are visible","an red color books are visible.","ma","23199105","5"
"here its a yellow color","here it's a red color","ma","23199105","6"
"a very messy craft table with a bright yellow book on top of a stack","a very messy craft table with a bright red book on top of a stack","ma","23199105","7"
"a messy table of books and crafts. a bright yellow book stands out in the corner","a messy table of books and crafts. a bright red book stands out in the corner","ma","23199105","8"
"craft project material and pictures","craft project materials and items to use","ma","23199105","9"
"bigger quarter moon above bed","smaller quarter moon above bed","ma","24383097","1"
"a blue bedroom with blue stars and a large moon lamp.","a blue bedroom with blue stars and a small yellow moon lamp.","ma","24383097","2"
"a child's bed sits in a blue room, below a shelf, and a background filled with blue stars and a long moon.","a child's bed sits in a blue room, below a shelf, and a background filled with blue stars, and a regular sized moon.","ma","24383097","3"
"a changing table against a blue wall with a larger sun light","a changing table against a blue wall with a smaller sun light","ma","24383097","4"
"a childs bedroom decorated with stars and a large moon","a childs bedroom decorated with stars and a small moon","ma","24383097","5"
"a blue decorated nursery wall with a large yellow moon","a blue decorated nursery wall with small yellow moon lamp","ma","24383097","6"
"there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row ends with 'i'","there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row is 'des'","ma","25107991","1"
"a picture of a wall with elephant keychains, an elephant painting, and a sign.","a picture of a wall with elephant keychains, an elephant painting, and a sign with the word 'des'","ma","25107991","2"
"a purple elephant magnet fridge there are no words in the yellow box in this picture.","a purple elephant magnet fridge there is the word des in the yellow box in this picture.","ma","25107991","3"
"four elephant keychains hanging from a wall and a green square.","four elephant keychains hanging from a wall with a green backdrop lettering and des in the box.","ma","25107991","4"
"keychains on a poster","keychains on a poster with the word des","ma","25107991","5"
"elephant keychains laying on a table cloth with french writing ","elephant keychains laying on a tablecloth with the french word des emphasized","ma","25107991","6"
"a retro looking bar booth with framed darts on the wall","a retro looking bar booth with framed darts on the wall","ma","27857618","1"
"a section of a restaurant, with a billiard table moved to the bottom of a frame","a section of a restaurant, with a billiard table moved to the middle of the frame","ma","27857618","2"
"a cafe with a red leather padded bench and wood table with a dart board above it on a green square. the dart board is on the lower portion of the square","a cafe with a red leather padded bench and wood table with a dart board centered above on a green square","ma","27857618","3"
"a seat and table in a pub with a framed dartboard on the wall hanging low in the frame","a seat and a table in a pub with a framed dartboard on the wall hanging high in the frame.","ma","27857618","4"
"darts board placed at the bottom on the wall","darts board placed at the middle on the wall","ma","27857618","5"
"a game room with a long tufted red couch and a table and a wooden stool","a game room with a long tufted red couch and a table and a dart board on the wall and a wooden stool","ma","27857618","6"
"a yellow apple on a tapestry.","a red apple on a tapestrty","ma","3099758","1"
"a quilt with handprint designs on it lays on a wooden background, with a golden apple in the bottom middle square.","a quilt with handprint designs on it lays on a wooden background, with an orange apple in the bottom middle square.","ma","3099758","2"
"a blanket with children's handprints and a fruit tile including a green apple","a blanket with chiden's handprints and fruit tile including and orange apple","ma","3099758","3"
"a quilt, with blue, red and apple handprints on the sides. the bottom center has an image of a green apple","a quilt, with blue, red and apple handprints on the sides. the bottom center has an image of an orange apple","ma","3099758","4"
"a quilt with pictures of hand prints and a yellow apple","a quilt with pictures of hand prints and a red apple","ma","3099758","5"
"a picture of a desk with a laptop and a desktop monitor. the monitor shows a banner for a website.","a picture of a desk with a laptop and a desktop monitor. half of the monitor is filled with a website with a small banner at the top.","ma","31236119","1"
"the picture is large","the picture is small","ma","31236119","2"
"a desk with a computer whose monitor displays a wide band graphic at the top.","a desk with a computer whose monitor displays a graphic at the top that stretches about seventy five percent of the width of the screen.","ma","31236119","3"
"a desk with a computer and display. there is a dark reflection in the box","a desk with a computer and display. there is an even larger dark reflection in the box","ma","31236119","4"
"an yellow color star symbol will be slightly rotated.","an yellow color star symbol will be attached perfectly.","ma","32289063","1"
"the star in the middle was turn upside down here","the start here is the real star","ma","32289063","2"
"a stuffed toy box with a yellow star at an angle.","a stuffed toy box with a yellow star oriented in a straight way.","ma","32289063","3"
"a birthday cake with a toybox and toys in it. the star is upside down .","a birthday cake with a toybox and toys in it. the star is rightside up","ma","32289063","4"
"a toybox featuring an upside down golden star.","a toybox featuring a right side up golden star.","ma","32289063","5"
"a children's toy set including a set of different toys in a wooden box with a five pointed star that is pointed down","a children's toy set including a set of different toys in a wooden box with a five pointed star that is pointed up","ma","32289063","6"
"a toy box cake with toys on top with a lid and the name rolly with a sideways star below the name","a toy box cake with toys on top with a lid and the name rolly with a straight facing star below the name","ma","32289063","7"
"a cake decorated like a toy box with an off centered yellow star in the middle","a cake decorated like a toy box with centered yellow star in the middle","ma","32289063","8"
"an overflowing toybox with a name on the front and a tilted yellow star underneath.","an overflowing toybox with a name on the front and a centered yellow star underneath. ","ma","32289063","9"
"a small display piece in the form of a toybox with an askew star on the front","a small display piece in the form of a toybox with a traditionally formed star on the front","ma","32289063","10"
"a picture of various dimetrodon toys including a small silver one","a picture of dimetrodon toys of various colors and sizes, including a small, silver toy at the bottom center.","ma","38466626","1"
"multiple toys. the one in the front is skewing towards the green toy","multiple toys. the one in the fron is skewing near the red one.","ma","38466626","2"
"12 small plastic toy dinosaurs all facing to the left.   one of those dinosaurs is smallest and is white in color.  it is to the left of the yellow box. ","12 small plastic toy dinosaurs all facing to the left.  one of those dinosaurs is the smallest and is white in color.  it is to the right of the yellow box.  ","ma","38466626","3"
"the animal is in front here","the animal is at the back here ","ma","38466626","4"
"12 various toy dinosaurs ranging from tiny to big","12 various toy dinosaurs ranging from tiny to big","ma","38466626","5"
"toy dinosaurs sorted in line large in the back to the smallest in the front. the smallest silver one is in line in the front ","toy dinosaurs sorted in line, large in the back to the smallest in the front. the smallest silver one is slightly out of line ","ma","38466626","6"
"their is a grey color round shade available on outside of photo frame.","their is no shaded available on outside of photo frame.","ma","38546029","1"
"there's a cirlce inside the yellow box","there's nothing here in the yellow box","ma","38546029","2"
"a shelf arrangement with 2 flower vases, some other knicknacks, pictures of children, and a board with 2 silver circles in it ","a shelf arrangement with 2 flower vases, some other knicknacks, pictures of children, and a board with 1 silver circle in  it ","ma","38546029","3"
"a brown shelf on a tan wall with two flower displays, a photo, and a book with a blue dot on it","a brown shelf on a tan wall with two flower displays, a photo, and a brown book","ma","38546029","4"
"two flowers and a few picture frames, with on that has two dots on it","two flowers and a few picture frames, with one that has one dot on it","ma","38546029","5"
"a decorated shelf including a brown board with a circle on the top and bottom","a decorated shelf including a brown board with a circle on the top","ma","38546029","6"
"a decorated shelf with vases and picture frames with the larger frame having a circle detail on the bottom","a decorated shelf with vases and pictures","ma","38546029","7"
"a wooden picture frame with a dot on the bottom","a wooden picture frame without a dot on the bottom","ma","38546029","8"
" at the photo stand, white dot is present","there is no dot available on photo stand","ma","38546029","9"
"a wooden decorative memento decorated with two colorful circles sitting on a shelf along with other meaningful items","a wooden decorative memento decorated with one colorful circle sitting on a shelf along with other meaningful items","ma","38546029","10"
"a picture of a woodcarving desk featuring a piece with waves in the center","a picture of a woodcarving desk featuring a new piece","ma","42429798","1"
"wood carved symbol with a squigly print. in top upper right hand corner","wood carved symbol with no squicly print in the top upper right hand corner.","ma","42429798","2"
"a round wood carving with a mostly filled-in circle of designs.","a round wood carving with one quadrant more empty than the other three.","ma","42429798","3"
"a cluttered table with wood carving tools and an image that has a swirl above the circle","a clutered table with wood carving tools and an image with a blank space above the circle","ma","42429798","4"
"a circular wood etched symbolic art piece on a carving table with a squiggly symbol on the top right of the circle","a circular wood etched art piece on a carving table with a blank top right of the circle.","ma","42429798","5"
"a wooden table with a piece of art made out of wood and pipes","a wooden piece of art on a table with pipes","ma","42429798","6"
" a wood carving of an abstract tree with 11 squiggly branches ","a wood carving of an abstract tree with 10 squiggly branches","ma","42429798","7"
"an ornately decorated wooden design that has a squiggly line carved in it in one place","an ornately decorated wooden design that has plain wood in one place amongst squiggly carved lines","ma","42429798","8"
"a wooden symbol with eleven wave cravings.","a wooden symbol with ten wave cravings.","ma","42429798","9"
"a table with a computer and a box on the top shelf with label on the bottom of the box","a table with a computer and a box on the top shelf with label on the top of the box","ma","4247084","1"
"an old computer desk set up in an office with oddly labeled shelfed containers","an old computer desk set up in an office with evenly labeled shelfed containers","ma","4247084","2"
"an old computer sits on a desk, next to a tablet, and above it sits a shelf filled with items, including a half filled bin.","an old computer sits on a desk, next to a tablet, and above it sits a shelf filled with items, including a fully filled bin.","ma","4247084","3"
"a desk with a computer and whiteboard with shelves on the wall behind. on the shelf is a pair of labeled bins. one bin has the label on the lower half.","a desk with a computer and whiteboard with shelves on the wall behind. on the shelf is a pair of labeled bins with both labels on the top edge.","ma","4247084","4"
"a desk containing a computer with two shelves above it. the second shelf has two clear labelled boxes, one with a label at the top and one with the label at the bottom","a desk containing a computer with two shelves above it. the second shelf has two clear labelled boxes, both with the label at the top","ma","4247084","5"
"a computer desk with a computer a tablet office supplies and a bin with a label in the middle of the front of the bin","a computer desk with a computer a tablet office supplies and a bin with a label on the top of the front of the bin","ma","4247084","6"
"an office with a file box on a shelf with the label at the bottom","an office with a file box on a shelf with the label at the top","ma","4247084","7"
"office desk with shelving onthe wall that holds two plastic containers, one  labelled high and one low.","office desk with shelving on the wall that holds two plastic containers, both with labels near their top.","ma","4247084","8"
"various holiday cookies in red green and blue with holiday shapes and a red cookie with a white snow flake in the center.","various holdiay cookies in red green and lbue with holiday shapes and a red cookie with a white snow flake tilted too the right.","ma","44993860","1"
"beautifully decorated cookies laying in a platter on a table clothed table.  one of the cookies in the yellow box has a print of a snowflake and it is angled to the side.it is also red.","beautifully decorated cookies laying on a platter on a table clothed table.  one of the cookies in the yellow box has a print of a snowflake and is centered on the red cookie.","ma","44993860","2"
"a bunch of christmas cookies sit on a plate. the cookie in the bottom right corner has a small snowflake design.","a bunchof christmas cookies sit on a plate. the cookie in the bottom right corner has a large snowflake design.","ma","44993860","3"
"festive christmas cookies featuring tree, present and snowflake shapes","festive chirstmas cookies featuring tree, present and snowflake shapes","ma","44993860","4"
"a plate of christmas cookies with a square snowflake cookie.","a plate of christmas cookies with a diamond-shaped snowflake cookie.","ma","44993860","5"
"a pencil and a hammer are put in front of a green plastic box like structure on a wooden board surrounded by four wooden panels.","a hammer is put in front of a green plastic box like structure on a wooden board surrounded by four wooden panels.","ma","45525109","1"
"a table with two wood projects a plastic container, rag, glue, hammer and pencils","a table outside with two wood projects, a hammer, a green plastic container, one pencil, rag, glue","ma","45525109","2"
"a work bench with a variety of tools including a pencil and a hammer.","a work bench with a variety of tools including a hammer.","ma","45525109","3"
"a hammer sits on a table, next to a yellow squirt jar, a cloth, and an open box. next to the hammer appears to be a pencil.","a hammer sits on a table, next to a yellow squirt jar, a cloth, and an open box. there appears to be nothing sitting directly next to the hammer.","ma","45525109","4"
"art supplies on a table that has a pencil next to a hammer","art supplies on a table that does not have a pencil next to a hammer","ma","45525109","5"
"woodworking tools with a hammer and pencil on the table","woodworking tools with a hammer and no pencil on the table","ma","45525109","6"
"a pantry area in a home kitchen","a small container in a pantry. i'm guessing it contains tea","ma","46475259","1"
"an organized kitchen pantry with a variety of jars including one with a pink label.","an organized kiten pantry with a variety of jars including one with a yellow label.","ma","46475259","2"
"a pot contains a pink color with brown shade design","a pot contains a yellow color with green shade design.","ma","46475259","3"
"ingredients on shelves for various coffees and teas, including one red container with red emblem on the front","ingredients on shelves for various coffees and teas, including one green container with yellow emblem on the front","ma","46475259","4"
"jars filled with seasonings and other kitchen goods sits on a shelf, while one in the bottom center has a red label.","jars filled with seasonings and other kitchen goods sits on a shelf, while one in the bottom center has a green label.","ma","46475259","5"
"country style kitchen pottery line shelves including a pink label on a white crock","country style kitchen potter line shelves including a yello label on a white crock","ma","46475259","6"
"a brown cake with face features  and a yellow mouth is put next to a big red cake on a bakery shelf.","a brown cake with face features and a red mouth is put next to a big red cake on a bakery shelf.","ma","46635293","1"
"a chocolate cake with a brown smiley face.","a chocolate cake with a red smiley face.","ma","46635293","2"
"a birthdaychristmas arrangement with various gifts and desserts, including a chocolate cake with an orange smiling face","a birthday or christmas arrangement with various gifts and desserts, including a chocolate cake with a red smiling face  ","ma","46635293","3"
"a display window containing many cakes including a black cake with a yellow smile","a display window containing many cakes includinga black cake with a red smile","ma","46635293","4"
"a display of colorful cakes and treats. one cake is a large smiling face with a yellos mouth.","a display of colorful cakes and treats. one cake is a large smiling face with a red mouth.","ma","46635293","5"
"a smily cake with a gold mouth","a smily cake with a red mouth","ma","46635293","6"
" a selection of cakes and pastries are on display. a cake in the foreground has a face with a yellowing smiling mouth","a selectin of cases and pastries are on display. a cake in the foreground has a face with a red smiling mouth","ma","46635293","7"
"a bakery full of sweet including a face cake with a yellow mouth","a bakery full of sweets including a face cake with a red mouth","ma","46635293","8"
"cakes and cookies displayed on a table with one cake having a face with a big brown smile","cakes and cookies displayed on a table with one cake having a face with a big red smile","ma","46635293","9"
"a display case with various desserts","a display case with various cake items and one cake has a smiley face that has pink lips","ma","46635293","10"
"many baked goods and confections, including a chocolate cake with a yellow smile, displayed in a shop window","many baked goods and confections, including a chocolate cake with a red smile, displayed in a shop window","ma","46635293","11"
"multiple toys. the toy in the front has pink legs.","multiple toys. the toy in the front has blue legs","ma","48384711","1"
"a group of small plushies of many different colors","the legs of a blue plushy","ma","48384711","2"
"small plastic toys resembling bunny rabbits and this particular one has pink legs.","small plastic toys resembling bunny rabbits and this particular one has blue legs. ","ma","48384711","3"
"a group of colorful toys is led by a pink legged purple toy","a group of colorful toys is led by a purple toy","ma","48384711","4"
"a set of cartoon figurines with the character in the front having pink legs","a set of cartoon figurines with the character in front having blue legs","ma","48384711","5"
"a collection of bunny figurines with one sporting pink legs.","a collection of bunny figurines with one sporting blue legs to match its ears.","ma","48384711","6"
"a set of creatively modeled rabbit figures. the front one has blue ears and pink feet.","a set of creatively modeled rabbit figures. the front one has blue ears and blue feet.","ma","48384711","7"
"6 toys on the floor with the pink one in the front","6 toys on the floor with the purple one in the front","ma","48384711","8"
"a group of action figures with a bunny with pink feet in the front","a group of acton figures with a bunny with purple feet in the front","ma","48384711","9"
"a group of six toys where the one in the front has pink legs","a group of six toys where the one in the front has purple legs","ma","48384711","10"
"first toy has pink legs","front toy has blue legs","ma","48384711","11"
"a beautiful rabbit doll with purple legs and bunch of toys.","a beautiful rabbit doll with blue legs and bunch of toys.","ma","48384711","12"
"a large rectangle of sushi rice on a sushi platter","a smaller rectangle of sushi rice on a sushi platter","ma","48486405","1"
"sushi dish with a long piece of white sushi","sushu dish with a white short piece of sushi","ma","48486405","2"
"a plate of sushi with a long strip of rice.","a plate of suski with a short strip of rice.","ma","48486405","3"
"a plate of sushi rolls","a plate of sushi rolls","ma","48486405","4"
"a tray of sushi with a long roll in the bottom-center.","a tray of sushi with a medium-sized toll in the bottom-center.","ma","48486405","5"
"a block of sticky rice surrounded by sushi","a tidy block of sticky rice surrounded by sushi","ma","48486405","6"
"18 sushi treats, and they all have some sort of seaweed","18 sushi treats,only 17 of which include seaweed","ma","48486405","7"
" a table with with cheese, crackers, preztles and twelve devil eggs","a table with cheese and crackers on a white dish, twelve devil eggs, a clear bowl with preztles","ma","51537628","1"
"a snack setup that has a variety of food including deviled eggs the deviled egg in the yellow box is turned vertically in this picture.","a snack setup that has a variety of food including deviled eggs the deviled egg in the yellow box is turned horizontally in this picture.","ma","51537628","2"
"food table. egg on the back has less cheese","food table. egg on the back has more cheese.","ma","51537628","3"
"the picture contains the egg with little east","the picture contains the egg with high east","ma","51537628","4"
"a egg shape with smaller size and less ingredient has been added","a egg shape with larger size and maximum amount of ingredient has been added.","ma","51537628","5"
"a table filled with nuts, crackers, cheese, and deviled eggs.  one of the eggs has less filling.","a table filled with nuts, crakcers, cheese, and deviled eggs.  one of the eggs has more filling.","ma","51537628","6"
